Contributor,Total,To Dems,To Repubs,To liberal groups,To conservative groups,To nonpartisan groups,Lean
Lockheed Martin,4671856,2478518,2131898,62677,2939,395,Leans Democrat
Northrop Grumman,3415618,1950238,1394370,53055,10765,700,Leans Democrat
RTX Corp,2896694,1540182,1275683,30947,4101,5700,Leans Democrat
General Atomics,2658071,629340,1770136,54831,193400,510,Leans Republican
L3Harris Technologies,2526417,1169895,1338221,14340,1841,0,Leans Republican
Anduril Industries,2315256,872143,1442043,0,0,0,Leans Republican
General Dynamics,2232417,1065895,1124140,-6832,5752,0,Leans Republican
Leidos Inc,1565579,851643,679641,10195,670,5700,Leans Democrat
Booz Allen Hamilton,1283014,725435,520516,8320,3655,100,Leans Democrat
BAE Systems,1195053,548775,627760,3466,763,250,Leans Republican
Huntington Ingalls Industries,969302,441199,515797,1536,1750,0,Leans Republican
CACI International,668625,183362,473003,979,6248,25,Leans Republican
Sierra Nevada Corp,610958,267771,340516,0,0,0,Leans Republican
MITRE Corp,513383,438550,56014,11816,2718,0,Leans Democrat
Parsons Corp,483009,210397,267605,1155,1394,0,Leans Republican
Intelligenesis Inc,480223,191396,0,285500,0,0,Leans Liberal
KBR Inc,440601,94885,337738,156,700,0,Leans Republican
Bollinger Shipyards,423766,23100,390666,0,10000,0,Leans Republican
Second Front Systems,405483,243650,11833,150000,0,0,Leans Democrat
Sandia National Laboratories,402254,338891,48158,8331,7,0,Leans Democrat